,District,Population,Total_households,Population_density,Zonning,Avg_Age,literacy_rate_%,people_per_household,Employment_rate,tests_per_population,rwi,GDP_per_capita,poverty_index,Central,Eastern,Northern,Western
44,ADJUMANI,235900,43200,75.75,3,17.0,58.0,5.5,41.2,0.231659634,0.163,277,52.6,0,0,1,0
45,AMURU,216800,45000,60.39,3,15.9,54.55,4.8,52.1,0.389188185,-0.351,356,27.4,0,0,1,0
5,ARUA,751000,141200,323.8,3,15.9,63.0,5.3,58.3,4.217124099,-0.111,261,29.4,0,0,1,0
8,BUDUDA,271100,50000,259.5,3,16.0,56.0,5.4,20.3,0.100076962,-0.524,199,31.8,0,1,0,0
9,BUGIRI,480400,99200,371.5,3,17.0,63.0,4.8,23.1,0.075663026,-0.117,181,32.3,0,1,0,0
1,BUIKWE,474100,114100,366.4,2,16.0,75.0,4.2,38.5,3.398757467,-0.402,1130,20.1,1,0,0,0
17,BULIISA,474100,28900,286.4,1,16.0,72.0,16.4,36.8,1.038861195,-0.1,125,34.2,0,0,0,1
10,BUSIA,384000,80725,355.2,3,17.0,65.0,4.8,22.1,4.989901162,-0.104,380,31.2,0,1,0,0
3,GULU,325600,65600,89.1,4,17.0,75.0,5.0,50.2,13.00542834,0.062,599,32.2,0,0,1,0
18,HOIMA,374500,83100,114.0,3,17.0,68.0,4.5,41.3,0.270966503,-0.285,449,31.1,0,0,0,1
11,IGANGA,402600,86300,437.6,3,17.0,68.0,4.7,22.6,0.057982017,-0.234,511,25.2,0,1,0,0
19,ISINGIRO,596400,125100,209.6,4,15.9,74.0,4.8,42.3,0.079997571,-0.643,568,25.4,0,0,0,1
12,JINJA,515100,115400,434.7,3,17.0,77.0,4.5,36.8,3.859120278,-0.124,1320,20.2,0,1,0,0
20,KABALE,248700,56100,140.2,2,17.0,68.0,4.4,39.5,1.56091518,-0.045,347,24.0,0,0,0,1
21,KABAROLE,337800,80400,177.7,3,15.9,67.0,4.2,41.7,1.306975247,-0.293,486,23.9,0,0,0,1
22,KAGADI,430200,91100,304.9,3,17.0,56.0,4.7,33.2,0.054926982,-0.113,57,42.8,0,0,0,1
46,KALANGALA,67200,24700,141.6,3,15.8,62.0,2.7,39.8,0.101292471,-0.416,67,46.1,1,0,0,0
16,KALANGULA ,70760,24700,148.7,3,16.0,73.0,2.9,31.6,0.101292471,0.007,313,46.1,1,0,0,0
13,KALIRO,288500,55700,286.6,3,17.0,62.5,5.2,19.4,0.224589232,-0.352,108,33.1,0,1,0,0
0,KAMPALA,1680600,462400,229.0,4,15.9,92.0,3.6,69.5,35.86776491,1.492,2655,9.6,1,0,0,0
